Name,Lat,Lng,Rating,Uers_total_rating,Address,Hotness
Mantra on Little Bourke Melbourne,-37.814443,144.958996,4.2,591,"471 Little Bourke St, Melbourne VIC 3000",2482.2
Aura on Flinders,-37.820446,144.956653,3.8,653,"534 Flinders St, Melbourne VIC 3000",2481.4
Miami Hotel Melbourne,-37.80599,144.94851,4.1,577,"13 Hawke St, West Melbourne VIC 3003",2365.7
Melbourne Central YHA,-37.820644,144.955617,4.2,560,"562 Flinders St, Melbourne VIC 3000",2352
Mantra Southbank Melbourne,-37.821679,144.966924,4.1,567,"31 City Rd, Southbank VIC 3006",2324.7
Discovery Melbourne,-37.808953,144.959169,3.1,711,"167 Franklin St, Melbourne VIC 3000",2204.1
Milano Serviced Apartments,-37.807389,144.962087,3.7,588,"8 Franklin St, Melbourne VIC 3000",2175.6
Melbourne Metro YHA,-37.80308,144.954435,4,540,"78 Howard St, North Melbourne VIC 3051",2160
Quay West Suites,-37.820422,144.967093,4.5,478,"26 Southgate Ave, Southbank VIC 3006",2151
The Clarendon Hotel & Skybar,-37.830912,144.959909,4.5,475,"209/215 Clarendon St, South Melbourne VIC 3205",2137.5
Clarion Suites Gateway,-37.81947,144.959503,4.3,495,"1 William St, Melbourne VIC 3000",2128.5
Oaks Melbourne on Lonsdale Suites,-37.809765,144.971423,4,525,"23-33 Lonsdale St, Melbourne VIC 3000",2100
Mantra on Jolimont Melbourne,-37.817991,144.978311,3.9,537,"133 Jolimont Rd, East Melbourne VIC 3002",2094.3
Naughtons Hotel,-37.795578,144.957644,4.4,474,"43 Royal Parade, Parkville VIC 3052",2085.6
Causeway 353 Hotel,-37.815781,144.963126,3.9,533,"353 Little Collins St, Melbourne VIC 3000",2078.7
Treasury on Collins Apartment Hotel Melbourne,-37.816734,144.961107,4.6,446,"394 Collins Street (entrance, off Queen St, Me...",2051.6
Adina Apartment Hotel Melbourne Northbank,-37.820627,144.95601,4.3,460,"550 Flinders St, Melbourne VIC 3000",1978
Fraser Place Melbourne,-37.808934,144.968117,4,469,"19 Exploration Ln, Melbourne VIC 3000",1876
Oaks Melbourne Southbank Suites,-37.822092,144.965989,4.2,445,"57-61 City Rd, Southbank VIC 3006",1869
Adelphi Hotel,-37.816156,144.9683,4.5,402,"187 Flinders Ln, Melbourne VIC 3000",1809
The Sebel Melbourne Flinders Lane,-37.817523,144.963665,4.6,386,"321 Flinders Ln, Melbourne VIC 3000",1775.6
Retreat Hotel,-37.801071,144.997764,4.5,379,"226 Nicholson St, Abbotsford VIC 3067",1705.5
Seasons Botanic Gardens,-37.830951,144.970864,4.1,397,"348 St Kilda Rd, Melbourne VIC 3004",1627.7
Bella Apartments,-37.825721,144.959732,3.5,459,"250 City Rd, Southbank VIC 3006",1606.5
Ovolo Laneways,-37.810628,144.971928,4.6,348,"19 Little Bourke St, Melbourne VIC 3000",1600.8
Grand Hotel Melbourne,-37.819958,144.954269,4.3,370,"33 Spencer St, Docklands VIC 3000",1591
The Larwill Studio Melbourne - Art Series,-37.794961,144.949784,4.5,347,"48 Flemington Rd, Parkville VIC 3052",1561.5
Peppers Docklands Melbourne,-37.814745,144.947122,4.4,349,"679 La Trobe St, Docklands VIC 3008",1535.6
