,name,rate,reviews_num,type,price_level,review,lat,lng,subtype,hotness
38,Bistro Guillaume,3.9,"1,071",French,$$$$,"“The meals are simple, yet so delicious, even the butter lettuce salad was ful...”",-37.8221868,144.9594149,French,5247.9
39,The  European,4.4,941,"European, Australian",$$ - $$$,"“Our mains, duck & steak tartare will al...”",-37.810891,144.972643,Australian,5081.4
40,Da Guido La Pasta,4.5,910,"Italian, Mediterranean",$$ - $$$,“... look forward to having the black squid ink pasta with calamari ragu again.”,-37.8040315,144.9666274,Italian,5005
41,Munich Brauhaus,4.1,998,"German, Bar",$$ - $$$,"“Always with a smile, great energy, and recommend some great German beers.”",-37.8241472,144.9500833,Europe,5089.8
42,Rosetta,4,968,Italian,$$$$,“Perfect restaurant for a special occasion”,-37.8215883,144.9605757,Italian,4840
43,Pure South Dining,4.2,918,"Contemporary, Australian",$$$$,“Went here with a group of clients and the restaurant arranged a tasting menu...”,-37.8202366,144.9654147,Australian,4773.6
44,Eau De Vie,4.7,802,"Bar, Australian",$$ - $$$,“Insta famous!”,-37.8158003,144.9715874,Australian,4571.4
45,pastuso,4.5,831,"Peruvian, Latin",$$ - $$$,“Awesome food experience”,-37.8158403,144.9710359,Latin,4570.5
46,Tipo 00,4.6,789,"Italian, European",$$ - $$$,“... perfection and polenta was lovely Salad- dressed well and pear offered pl...”,-37.8135522,144.9619835,Italian,4418.4
47,Left Bank Melbourne,4.1,812,"Bar, European",$$ - $$$,"“Stopped in for lunch special deal Just under $20 risotto & red wine, burger &...”",-37.8210084,144.9628614,Europe,4141.2
48,Rare Steakhouse Uptown,4.4,756,"Australian, Steakhouse",$$ - $$$,“Pre theatre”,-37.8131231,144.9716015,Australian,4082.4
49,Tonka,4.2,792,"Indian, Contemporary",$$$$,"“The lamb curry and roti was incredible,...”",-37.8156991,144.9714107,Indian,4118.4
50,MoVida Aqui,4.4,738,"Mediterranean, Spanish",$$ - $$$,“Exception was the Octopus that was very chewy.”,-37.8146717,144.9584656,Mediterranean,3985.2
51,Spaghetti Tree,4.2,769,Italian,$$ - $$$,“We loved our Spaghetti Tree experience...”,-37.8119715,144.9715104,Italian,3998.8
52,No35,4.3,745,"Australian, Contemporary",$$$$,“There is a good selection of seafood including prawns and oysters as well as...”,-37.8141189,144.9728415,Australian,3948.5
53,Trunk,4.1,772,"Australian, Bar",$$ - $$$,“Terrific burger and fun place!”,-37.8093397,144.9689732,Australian,3937.2
54,Hutong Dumpling Bar,4.2,740,Chinese,$$ - $$$,"“We tried the wantons with hot chili sauce--delicious, prawn dumplings--excell...”",-37.811884,144.9694785,Chinese,3848
55,Chocolate Buddha,4.4,698,"Korean, Sushi",$$ - $$$,"“... trendy with a wide variety of Japanese delicacies, ramen, donburi and sushi!”",-37.8177174,144.9687344,Korean,3769.2
56,San Telmo,4.5,682,"Steakhouse, Latin",$$ - $$$,“We also ordered the lamb.”,-37.8121636,144.9724132,Steakhouse,3751
57,Tiamo,4.3,703,"Italian, Sicilian",$$ - $$$,“Melt in the mouth veal”,-37.7982049,144.9671557,Italian,3725.9
58,The Railway Club Hotel Steakhouse,4.6,655,"Steakhouse, Bar",$$ - $$$,"“The food is beyond good, the steak is amazing We love it here so much!!”",-37.8337664,144.9443284,Steakhouse,3668
59,The French Brasserie,4.4,675,"French, European",$$$$,"“... of pre set menu, both absolutely delicious beef bourguignon and calamari .”",-37.8152705,144.9715326,French,3645
60,Sake Restaurant & Bar,4.2,706,"Japanese, Sushi",$$ - $$$,"“... cucumbers, edamame, Seared cold scallops with corn nori Christ , Karachi ...”",35.6683322,139.7561956,Japanese,3671.2
61,Cargo Restaurant,4.4,673,"Pizza, European",$$ - $$$,“Chicken burger is amazing!”,-37.8152778,144.9413889,Pizza,3634.2
62,The Quarter,4.2,701,"Cafe, Australian",$$ - $$$,"“After a bit of scouting, I decided to get a Lamb Burger takeaway.”",-37.817067,144.965565,Australian,3645.2
63,Punch Lane,4.5,654,"European, Australian",$$ - $$$,"“Thoroughly enjoyed the burata and quail dishes for entree, and lamb and steak...”",-37.8105622,144.971026,Australian,3597
64,The Meatball and Wine Bar,4.2,684,"Italian, Wine Bar",$$ - $$$,“... balls and polenta So good Enjoy a n...”,-37.8156417,144.9700889,Italian,3556.8
65,France Soir,4.4,625,"French, European",$$$$,"“The Entrecôte - (Scotch Fillet) 250g, Steak Frites, Salade Filet de boeuf (Th...”",-37.8382611,144.9868863,French,3375
66,Higher Ground,4.2,651,"Cafe, Australian",$$ - $$$,“I had the pumpkin risotto and I really recommend it!”,-37.8159118,144.9530304,Australian,3385.2
